charge_event_id,SE_id,pev_id,pev_type,start_time,end_time_chg,end_time_prk,dest_type,soc_i,soc_f,ES_strategy,VS_strategy,Ext_strategy
23206,10050806,1601658,hd_300kWh,2.783333333,_,4.333333333,_,0.09171654,0.998004337,NA,NA,NA
22217,10072905,1496232,hd_300kWh,2.866666667,_,3.683333333,_,0.049620384,0.998003789,NA,NA,NA
10024,10046205,4078,hd_400kWh,2.983333333,_,4.716666667,_,0.062204615,0.998009025,NA,NA,NA
11131,10030106,83988,hd_300kWh,3.116666667,_,4.8,_,0.079128268,0.998003789,NA,NA,NA
23612,10043207,1648442,hd_400kWh,3.283333333,_,3.433333333,_,0.090164616,0.652809785,NA,NA,NA
12622,10048411,190660,md_200kWh,3.316666667,_,5.233333333,_,0.059335417,0.998001276,NA,NA,NA
30493,10031508,573976,md_200kWh,3.516666667,_,5.433333333,_,0.184854583,0.998001276,NA,NA,NA
19223,10027912,1209648,hd_600kWh,3.65,_,5.6,_,0.098382544,0.998008652,NA,NA,NA
11886,10026404,140221,hd_400kWh,3.683333333,_,5.533333333,_,0.089593077,0.998009025,NA,NA,NA
14484,10009608,322950,hd_300kWh,3.633333333,_,3.833333333,_,0.096805769,0.697066317,NA,NA,NA
15736,10009607,417392,hd_400kWh,3.633333333,_,3.85,_,0.097121154,0.869843183,NA,NA,NA
20157,10004306,1296012,ld_100kWh,3.683333333,_,5.533333333,_,0.184332229,0.998001887,NA,NA,NA
27164,10026405,2673163,hd_300kWh,3.733333333,_,5.7,_,0.099321549,0.998004337,NA,NA,NA
30032,10065707,3854260,md_200kWh,3.716666667,_,5.633333333,_,0.19151,0.998001276,NA,NA,NA
16655,10021308,480812,md_200kWh,3.716666667,_,5.666666667,_,0.095120417,0.998001276,NA,NA,NA
28825,10029702,3485829,hd_400kWh,3.75,_,4.0,_,0.093230385,0.96309938,NA,NA,NA
16676,10020104,488123,md_200kWh,3.733333333,_,5.666666667,_,0.090789583,0.998001276,NA,NA,NA
28617,10007107,3425027,md_200kWh,3.766666667,_,4.383333333,_,0.036468421,0.925829741,NA,NA,NA
10256,10007106,23498,md_200kWh,3.766666667,_,5.7,_,0.188587083,0.998001276,NA,NA,NA
20973,10010705,1375673,md_200kWh,3.75,_,5.516666667,_,0.097638333,0.998001276,NA,NA,NA
26825,10004308,2412875,md_200kWh,3.766666667,_,4.066666667,_,0.095394079,0.528119739,NA,NA,NA
16510,10057308,472674,md_200kWh,3.816666667,_,5.683333333,_,0.094156579,0.99800406,NA,NA,NA
17123,10011708,517766,md_200kWh,3.85,_,5.616666667,_,0.287324167,0.998001276,NA,NA,NA
13498,10054108,252344,md_200kWh,3.85,_,5.8,_,0.095926667,0.998001276,NA,NA,NA
22410,10003906,1515364,md_200kWh,3.783333333,_,5.733333333,_,0.091812917,0.998001276,NA,NA,NA
20073,10055308,1289783,md_200kWh,3.833333333,_,5.516666667,_,0.037738334,0.998001276,NA,NA,NA
30981,10047506,1311832,md_200kWh,3.833333333,_,4.3,_,0.099032368,0.798695759,NA,NA,NA
17142,10012709,518545,md_200kWh,3.833333333,_,5.683333333,_,0.171867084,0.998001276,NA,NA,NA
16494,10075505,473015,md_200kWh,3.8,_,5.4,_,0.048635264,0.99800406,NA,NA,NA
29092,10011403,3572880,md_200kWh,3.916666667,_,5.866666667,_,0.29545875,0.998001276,NA,NA,NA
13880,10007704,280525,hd_300kWh,3.933333333,_,5.866666667,_,0.095433269,0.998003789,NA,NA,NA
29817,10039909,3785816,hd_400kWh,3.933333333,_,5.9,_,0.097680961,0.998009025,NA,NA,NA
14070,10021304,294279,md_200kWh,3.933333333,_,5.85,_,0.087000417,0.998001276,NA,NA,NA
29412,10066508,3661879,md_200kWh,3.916666667,_,4.033333333,_,0.110158333,0.487362358,NA,NA,NA
29731,10021906,3759246,hd_400kWh,3.866666667,_,5.833333333,_,0.098015192,0.998009025,NA,NA,NA
10070,10012710,2952,md_200kWh,3.933333333,_,5.883333333,_,0.089547084,0.998001276,NA,NA,NA
28361,10022505,3342259,md_200kWh,3.916666667,_,5.816666667,_,0.089585,0.998001276,NA,NA,NA
30117,10046208,3878874,hd_400kWh,3.883333333,_,5.833333333,_,0.097559231,0.998009025,NA,NA,NA
12101,10019604,154729,hd_300kWh,3.933333333,_,5.883333333,_,0.095848077,0.998003789,NA,NA,NA
27313,10041305,2699242,ld_100kWh,4.0,_,5.983333333,_,0.08445625,0.998001887,NA,NA,NA
13751,10019109,268984,hd_300kWh,4.0,_,5.533333333,_,0.04461327,0.998003789,NA,NA,NA
28402,10003905,3349862,md_200kWh,4.0,_,5.55,_,0.171408333,0.998001276,NA,NA,NA
15616,10009607,404755,hd_400kWh,4.016666667,_,5.833333333,_,0.081998653,0.998009025,NA,NA,NA
21886,10009606,1463774,hd_400kWh,4.0,_,5.833333333,_,0.086645192,0.998009025,NA,NA,NA
16639,10047004,480922,hd_400kWh,4.016666667,_,5.883333333,_,0.097724808,0.998009025,NA,NA,NA
26605,10064508,2345947,ld_100kWh,4.016666667,_,5.9,_,0.088092168,0.998001887,NA,NA,NA
20168,10004807,1297051,md_200kWh,3.966666667,_,5.7,_,0.085603553,0.99800406,NA,NA,NA
22116,10041306,1486199,hd_300kWh,4.1,_,5.983333333,_,0.0924525,0.998003789,NA,NA,NA
20475,10009705,1325676,md_200kWh,4.1,_,6.05,_,0.093763333,0.998001276,NA,NA,NA
20793,10055301,1355948,hd_400kWh,4.033333333,_,5.916666667,_,0.188504039,0.998009025,NA,NA,NA
25652,10021902,2108898,md_200kWh,4.066666667,_,5.983333333,_,0.0851325,0.998001276,NA,NA,NA
21384,10021903,1414236,md_200kWh,4.066666667,_,6.033333333,_,0.09686625,0.998001276,NA,NA,NA
12937,10005008,214680,ld_100kWh,4.033333333,_,5.983333333,_,0.098325151,0.998001887,NA,NA,NA
11291,10070009,91819,md_200kWh,4.116666667,_,5.833333333,_,0.052674585,0.998001276,NA,NA,NA
28051,10050204,3249059,hd_300kWh,4.15,_,5.5,_,0.046571653,0.998004337,NA,NA,NA
20138,10032609,1297327,md_200kWh,4.116666667,_,5.95,_,0.067087917,0.998001276,NA,NA,NA
18838,10023605,1175625,hd_400kWh,4.183333333,_,6.1,_,0.094615962,0.998009025,NA,NA,NA
20841,10002808,1359167,md_200kWh,4.116666667,_,6.066666667,_,0.091105417,0.998001276,NA,NA,NA
11093,10050701,79948,ld_100kWh,4.116666667,_,5.1,_,0.091278088,0.998001887,NA,NA,NA
14856,10050704,349806,md_200kWh,4.183333333,_,4.25,_,0.0917975,0.350735292,NA,NA,NA
27432,10028703,3073490,md_200kWh,4.133333333,_,5.883333333,_,0.038555416,0.998001276,NA,NA,NA
18783,10072108,1170028,ld_100kWh,4.183333333,_,6.083333333,_,0.192795708,0.998001887,NA,NA,NA
22678,10026408,1541872,hd_600kWh,4.25,_,6.133333333,_,0.096187982,0.998008652,NA,NA,NA
24020,10015910,1753621,hd_400kWh,4.216666667,_,6.0,_,0.075776923,0.998009025,NA,NA,NA
10568,10049906,41103,md_200kWh,4.25,_,6.133333333,_,0.095232083,0.998001276,NA,NA,NA
13524,10059306,255078,hd_300kWh,4.216666667,_,5.983333333,_,0.099547885,0.998003789,NA,NA,NA
13317,10005305,243007,md_200kWh,4.233333333,_,6.2,_,0.0765375,0.99800406,NA,NA,NA
20630,10073210,1337834,hd_300kWh,4.233333333,_,6.116666667,_,0.19035327,0.998003789,NA,NA,NA
37914,10044006,3880426,md_200kWh,4.233333333,_,4.466666667,_,0.167435834,0.860507016,NA,NA,NA
27885,10011907,3202912,hd_300kWh,4.25,_,6.116666667,_,0.091464423,0.998003789,NA,NA,NA
22530,10018107,1526487,hd_300kWh,4.2,_,5.983333333,_,0.086224852,0.998004337,NA,NA,NA
14692,10046003,338598,md_200kWh,4.266666667,_,5.966666667,_,0.057853333,0.998001276,NA,NA,NA
29288,10052504,3634486,ld_100kWh,4.233333333,_,6.116666667,_,0.09289375,0.998001887,NA,NA,NA
27820,10049509,3186582,md_200kWh,4.25,_,6.0,_,0.040944165,0.998001276,NA,NA,NA
16690,10007706,486146,hd_300kWh,4.3,_,6.233333333,_,0.095634231,0.998003789,NA,NA,NA
14824,10011504,348456,md_200kWh,4.333333333,_,6.15,_,0.089021711,0.99800406,NA,NA,NA
29161,10072005,3586196,md_200kWh,4.316666667,_,6.1,_,0.084797237,0.99800406,NA,NA,NA
27787,10072006,3177956,md_200kWh,4.333333333,_,4.733333333,_,0.156789998,0.973776886,NA,NA,NA
11798,10047506,127816,md_200kWh,4.333333333,_,6.083333333,_,0.136379167,0.998001276,NA,NA,NA
38449,10017808,1421306,hd_400kWh,4.35,_,5.633333333,_,0.083291347,0.998009025,NA,NA,NA
13312,10074112,244168,md_200kWh,4.35,_,6.283333333,_,0.08886,0.998001276,NA,NA,NA
28337,10081107,3336193,hd_400kWh,4.316666667,_,6.233333333,_,0.095366346,0.998009025,NA,NA,NA
26077,10034208,2215195,ld_100kWh,4.35,_,6.3,_,0.09550881,0.998001887,NA,NA,NA
17200,10042304,525601,hd_300kWh,4.333333333,_,5.916666667,_,0.151179425,0.998003789,NA,NA,NA
19324,10049109,1225263,md_200kWh,4.283333333,_,5.883333333,_,0.065678947,0.99800406,NA,NA,NA
16662,10004208,480359,hd_400kWh,4.416666667,_,4.5,_,0.198776731,0.560388657,NA,NA,NA
24032,10059406,1747235,hd_300kWh,4.433333333,_,6.383333333,_,0.097171538,0.998003789,NA,NA,NA
15172,10041307,372227,hd_300kWh,4.366666667,_,6.333333333,_,0.097978077,0.998003789,NA,NA,NA
22478,10041303,1521703,md_200kWh,4.416666667,_,4.833333333,_,0.096432369,0.718498768,NA,NA,NA
28759,10055210,3469340,md_200kWh,4.433333333,_,6.0,_,0.062343683,0.99800406,NA,NA,NA
14217,10077910,309544,hd_300kWh,4.383333333,_,6.3,_,0.191170192,0.998003789,NA,NA,NA
36939,10021306,3623864,ld_100kWh,4.383333333,_,5.0,_,0.097318298,0.972118527,NA,NA,NA
20637,10022508,1339979,hd_400kWh,4.4,_,6.2,_,0.08388423,0.998009025,NA,NA,NA
21154,10039808,1390716,ld_100kWh,4.366666667,_,6.316666667,_,0.196891792,0.998001887,NA,NA,NA
24051,10040907,1752834,hd_300kWh,4.4,_,5.933333333,_,0.055541925,0.998003789,NA,NA,NA
25584,10053308,2100179,hd_400kWh,4.366666667,_,6.25,_,0.197898461,0.998009025,NA,NA,NA
34713,10074110,2456888,hd_400kWh,4.383333333,_,6.233333333,_,0.095915769,0.998009025,NA,NA,NA
15016,10005006,365371,ld_100kWh,4.416666667,_,4.466666667,_,0.188384036,0.315781145,NA,NA,NA
16642,10070308,479307,hd_300kWh,4.383333333,_,5.85,_,0.075891923,0.998003789,NA,NA,NA
11955,10044004,145466,hd_300kWh,4.383333333,_,5.966666667,_,0.089168462,0.998003789,NA,NA,NA
15293,10037907,381783,ld_100kWh,4.433333333,_,6.316666667,_,0.088982003,0.998001887,NA,NA,NA
24255,10013105,1789804,md_200kWh,4.433333333,_,6.333333333,_,0.186855,0.998001276,NA,NA,NA
23917,10030107,1721768,hd_300kWh,4.4,_,6.233333333,_,0.092039247,0.998004337,NA,NA,NA
23405,10059607,1620615,md_200kWh,4.483333333,_,5.8,_,0.189716667,0.998001276,NA,NA,NA
28374,10014005,3347078,hd_300kWh,4.45,_,6.216666667,_,0.0875125,0.998003789,NA,NA,NA
18429,10059807,1140817,md_200kWh,4.466666667,_,6.416666667,_,0.094147917,0.998001276,NA,NA,NA
16550,10059410,478342,hd_300kWh,4.466666667,_,6.383333333,_,0.094467692,0.998003789,NA,NA,NA
16746,10007705,491130,ld_100kWh,4.483333333,_,4.533333333,_,0.094021913,0.191115338,NA,NA,NA
28861,10067002,3490149,hd_300kWh,4.483333333,_,6.433333333,_,0.097254808,0.998003789,NA,NA,NA
24387,10067004,1822562,hd_400kWh,4.516666667,_,6.433333333,_,0.095453654,0.998009025,NA,NA,NA
28111,10022104,3274810,md_200kWh,4.5,_,6.416666667,_,0.089629584,0.998001276,NA,NA,NA
22264,10055302,1500759,md_200kWh,4.45,_,4.566666667,_,0.026256665,0.432949639,NA,NA,NA
15259,10021907,385205,md_200kWh,4.45,_,6.416666667,_,0.293707917,0.998001276,NA,NA,NA
21085,10025506,1380844,md_200kWh,4.45,_,6.133333333,_,0.027552083,0.998001276,NA,NA,NA
17578,10038307,558056,hd_400kWh,4.5,_,6.116666667,_,0.088220961,0.998009025,NA,NA,NA
29342,10064910,3640009,ld_100kWh,4.5,_,6.4,_,0.090814307,0.998001887,NA,NA,NA
28487,10004307,3374536,md_200kWh,4.483333333,_,6.416666667,_,0.29466875,0.998001276,NA,NA,NA
27052,10050703,2661433,md_200kWh,4.466666667,_,5.116666667,_,0.083025833,0.998001276,NA,NA,NA
16981,10012808,503662,md_200kWh,4.466666667,_,6.25,_,0.085070789,0.99800406,NA,NA,NA
38450,10022809,107706,md_200kWh,4.5,_,4.65,_,0.500630005,0.900765415,NA,NA,NA
15996,10004708,432739,ld_100kWh,4.6,_,6.516666667,_,0.095091566,0.998001887,NA,NA,NA
14567,10024304,333420,hd_300kWh,4.583333333,_,6.4,_,0.086775,0.998003789,NA,NA,NA
26059,10006708,2215682,hd_400kWh,4.566666667,_,6.516666667,_,0.098725,0.998009025,NA,NA,NA
15984,10005004,433085,md_200kWh,4.55,_,6.483333333,_,0.09587579,0.99800406,NA,NA,NA
24972,10044006,1948709,md_200kWh,4.566666667,_,6.466666667,_,0.092322917,0.998001276,NA,NA,NA
13257,10043308,231796,hd_300kWh,4.533333333,_,6.466666667,_,0.097346154,0.998003789,NA,NA,NA
31042,10028706,1337359,hd_300kWh,4.6,_,4.8,_,0.097055769,0.663283126,NA,NA,NA
20871,10005112,1362270,hd_300kWh,4.583333333,_,6.3,_,0.089006346,0.998003789,NA,NA,NA
27655,10059611,3148771,hd_400kWh,4.633333333,_,6.533333333,_,0.094601154,0.998009025,NA,NA,NA
18703,10053208,1167660,md_200kWh,4.65,_,6.033333333,_,0.02446333,0.998001276,NA,NA,NA
18312,10081304,1133818,ld_100kWh,4.683333333,_,6.65,_,0.199020934,0.998001887,NA,NA,NA
38506,10019107,1193839,hd_400kWh,4.666666667,_,5.75,_,0.146031539,0.998009025,NA,NA,NA
36631,10059304,3534956,hd_400kWh,4.65,_,4.883333333,_,0.099557308,0.921777567,NA,NA,NA
19870,10024305,1276191,ld_100kWh,4.65,_,6.433333333,_,0.096008961,0.998001887,NA,NA,NA
27315,10008006,2696328,md_200kWh,4.65,_,6.4,_,0.148987915,0.998001276,NA,NA,NA
27918,10004808,3211714,md_200kWh,4.683333333,_,6.616666667,_,0.093286667,0.998001276,NA,NA,NA
18266,10030108,1128551,md_200kWh,4.633333333,_,6.583333333,_,0.068989166,0.998001276,NA,NA,NA
30274,10003209,3931433,ld_100kWh,4.616666667,_,4.966666667,_,0.098132003,0.700289456,NA,NA,NA
24343,10072207,1809494,hd_300kWh,4.766666667,_,6.6,_,0.087329423,0.998003789,NA,NA,NA
28293,10059602,3329466,ld_100kWh,4.75,_,6.533333333,_,0.075535091,0.998001887,NA,NA,NA
23272,10019805,1615049,md_200kWh,4.733333333,_,6.633333333,_,0.083062917,0.998001276,NA,NA,NA
12702,10041304,194167,md_200kWh,4.75,_,6.683333333,_,0.092527916,0.998001276,NA,NA,NA
36931,10007703,3614496,hd_400kWh,4.733333333,_,4.983333333,_,0.096654038,0.964353451,NA,NA,NA
23633,10004504,1652981,md_200kWh,4.7,_,6.666666667,_,0.196240833,0.998001276,NA,NA,NA
29296,10067008,3631361,md_200kWh,4.7,_,6.616666667,_,0.288350833,0.998001276,NA,NA,NA
15430,10049904,391271,hd_300kWh,4.7,_,5.3,_,0.081336538,0.998003789,NA,NA,NA
29970,10003312,3838776,hd_600kWh,4.766666667,_,6.6,_,0.094438246,0.998008652,NA,NA,NA
27429,10005605,3078272,ld_100kWh,4.766666667,_,6.716666667,_,0.097924849,0.998001887,NA,NA,NA
10614,10018411,40854,hd_400kWh,4.716666667,_,6.666666667,_,0.098004808,0.998009025,NA,NA,NA
22526,10074906,1529224,hd_300kWh,4.7,_,6.6,_,0.088993269,0.998003789,NA,NA,NA
33928,10055307,2218273,hd_300kWh,4.733333333,_,4.883333333,_,0.095798716,0.497258465,NA,NA,NA
19015,10002607,1194099,md_200kWh,4.733333333,_,6.6,_,0.083494583,0.998001276,NA,NA,NA
32295,10005308,1661490,hd_400kWh,4.7,_,5.666666667,_,0.105951728,0.998009025,NA,NA,NA
37664,10077110,3810292,hd_600kWh,4.75,_,5.1,_,0.098524649,0.946938582,NA,NA,NA
37216,10055706,3692889,hd_400kWh,4.733333333,_,6.516666667,_,0.097756731,0.998009025,NA,NA,NA
15989,10005007,436562,md_200kWh,4.716666667,_,6.3,_,0.098414474,0.99800406,NA,NA,NA
28682,10064505,3441306,ld_100kWh,4.716666667,_,6.133333333,_,0.097676581,0.998001887,NA,NA,NA
12047,10003107,150232,md_200kWh,4.7,_,6.333333333,_,0.090565,0.998001276,NA,NA,NA
21934,10057103,1467493,ld_100kWh,4.733333333,_,6.583333333,_,0.085240813,0.998001887,NA,NA,NA
20928,10024408,1370154,hd_400kWh,4.733333333,_,6.616666667,_,0.096226154,0.998009025,NA,NA,NA
18163,10065305,643093,ld_100kWh,4.733333333,_,6.233333333,_,0.130505496,0.998001887,NA,NA,NA
13092,10007107,220785,hd_300kWh,4.766666667,_,6.516666667,_,0.096138889,0.998004337,NA,NA,NA
26626,10007105,2352073,md_200kWh,4.7,_,5.7,_,0.037719159,0.998001276,NA,NA,NA
15948,10021207,431319,md_200kWh,4.7,_,6.116666667,_,0.211715001,0.998001276,NA,NA,NA
18929,10020508,1184722,md_200kWh,4.766666667,_,6.583333333,_,0.060202917,0.998001276,NA,NA,NA
20093,10073007,1292097,md_200kWh,4.766666667,_,6.466666667,_,0.036829582,0.998001276,NA,NA,NA
32391,10060508,1692115,hd_400kWh,4.716666667,_,6.566666667,_,0.087667308,0.998009025,NA,NA,NA
27039,10052503,2660570,md_200kWh,4.75,_,6.433333333,_,0.112570418,0.998001276,NA,NA,NA
24089,10022809,1756321,md_200kWh,4.7,_,6.433333333,_,0.085868333,0.998001276,NA,NA,NA
23233,10072106,1610069,hd_400kWh,4.75,_,6.05,_,0.005653077,0.998009025,NA,NA,NA
27235,10072104,2683023,hd_400kWh,4.766666667,_,6.666666667,_,0.588989785,0.998009025,NA,NA,NA
38493,10049304,3285783,hd_600kWh,4.85,_,5.15,_,0.091509474,0.854175267,NA,NA,NA
19381,10004205,1229851,md_200kWh,4.816666667,_,6.75,_,0.292105,0.998001276,NA,NA,NA
24211,10026406,1784783,hd_400kWh,4.816666667,_,6.616666667,_,0.080262885,0.998009025,NA,NA,NA
14707,10013310,338940,ld_100kWh,4.8,_,6.516666667,_,0.063864006,0.998001887,NA,NA,NA
24306,10005206,1804460,md_200kWh,4.783333333,_,5.55,_,0.099070132,0.990945636,NA,NA,NA
22811,10046806,1558652,md_200kWh,4.85,_,6.816666667,_,0.095485833,0.998001276,NA,NA,NA
25081,10004501,1973281,md_200kWh,4.783333333,_,6.75,_,0.099212895,0.99800406,NA,NA,NA
29274,10007008,3624714,hd_300kWh,4.833333333,_,6.766666667,_,0.09746633,0.998004337,NA,NA,NA
27182,10007004,2676834,md_200kWh,4.8,_,6.183333333,_,0.045736251,0.998001276,NA,NA,NA
24409,10031906,1830630,hd_300kWh,4.783333333,_,6.266666667,_,0.097303556,0.998004337,NA,NA,NA
24908,10001604,1937826,md_200kWh,4.85,_,6.8,_,0.09310375,0.998001276,NA,NA,NA
19213,10059303,1208065,ld_100kWh,4.85,_,6.533333333,_,0.066708584,0.998001887,NA,NA,NA
26169,10006504,2242016,hd_300kWh,4.816666667,_,6.716666667,_,0.093985384,0.998003789,NA,NA,NA
15020,10082106,366361,hd_400kWh,4.8,_,5.3,_,0.056140002,0.998009025,NA,NA,NA
12811,10074908,205677,md_200kWh,4.833333333,_,6.333333333,_,0.162915263,0.99800406,NA,NA,NA
13862,10074907,280295,md_200kWh,4.816666667,_,6.333333333,_,0.086732503,0.998001276,NA,NA,NA
25708,10020409,2127492,ld_100kWh,4.816666667,_,6.7,_,0.088222967,0.998001887,NA,NA,NA
29486,10017802,3689694,hd_300kWh,4.85,_,6.733333333,_,0.096996346,0.998003789,NA,NA,NA
27537,10010905,3108586,hd_400kWh,4.783333333,_,6.616666667,_,0.083129616,0.998009025,NA,NA,NA
11462,10005307,107704,hd_400kWh,4.85,_,6.616666667,_,0.074495192,0.998009025,NA,NA,NA
28485,10006108,3376713,hd_300kWh,4.833333333,_,6.766666667,_,0.097184238,0.998004337,NA,NA,NA
26392,10006105,2288285,hd_400kWh,4.8,_,6.766666667,_,0.098777692,0.998009025,NA,NA,NA
25023,10026006,1970040,hd_400kWh,4.8,_,4.983333333,_,0.095720192,0.806714574,NA,NA,NA
31313,10045010,1417771,hd_400kWh,4.816666667,_,5.883333333,_,0.079641346,0.998009025,NA,NA,NA
21844,10065308,1458910,md_200kWh,4.816666667,_,6.766666667,_,0.09460625,0.998001276,NA,NA,NA
21494,10007108,1425987,hd_300kWh,4.833333333,_,4.9,_,0.080106154,0.301772721,NA,NA,NA
23417,10078911,1628420,ld_100kWh,4.833333333,_,6.5,_,0.088101431,0.998001887,NA,NA,NA
16966,10028706,502870,hd_300kWh,4.85,_,6.783333333,_,0.196576154,0.998003789,NA,NA,NA
14492,10048807,320632,hd_400kWh,4.85,_,6.65,_,0.199441731,0.998009025,NA,NA,NA
27914,10012803,3212013,md_200kWh,4.783333333,_,6.433333333,_,0.011402498,0.998001276,NA,NA,NA
23396,10012805,1621705,hd_300kWh,4.85,_,6.7,_,0.089220959,0.998004337,NA,NA,NA
30107,10005107,3877190,md_200kWh,4.8,_,6.75,_,0.095835417,0.998001276,NA,NA,NA
30008,10005111,3849452,md_200kWh,4.8,_,6.366666667,_,0.011189168,0.998001276,NA,NA,NA
32025,10052505,1587230,ld_100kWh,4.816666667,_,5.266666667,_,0.076448871,0.840921712,NA,NA,NA
12193,10072107,158822,hd_400kWh,4.816666667,_,6.4,_,0.08837173,0.998009025,NA,NA,NA
13142,10049506,225441,md_200kWh,4.85,_,6.733333333,_,0.079151249,0.998001276,NA,NA,NA
29761,10075904,3766135,hd_400kWh,4.8,_,6.316666667,_,0.094915769,0.998009025,NA,NA,NA
25239,10072203,2011718,md_200kWh,4.9,_,6.75,_,0.068870416,0.998001276,NA,NA,NA
23561,10013304,1636117,ld_100kWh,4.866666667,_,5.083333333,_,0.092894202,0.463009074,NA,NA,NA
22896,10059407,1564222,md_200kWh,4.883333333,_,6.466666667,_,0.067861315,0.99800406,NA,NA,NA
36258,10054107,3426321,hd_400kWh,4.866666667,_,6.016666667,_,0.184364423,0.998009025,NA,NA,NA
18243,10050804,1127762,md_200kWh,4.916666667,_,6.75,_,0.092986316,0.99800406,NA,NA,NA
10323,10039004,28456,hd_300kWh,4.866666667,_,4.966666667,_,0.092753462,0.397052694,NA,NA,NA
30494,10021305,575221,md_200kWh,4.9,_,5.083333333,_,0.066885,0.650486518,NA,NA,NA
14288,10007006,307520,ld_100kWh,4.916666667,_,6.6,_,0.062416416,0.998001887,NA,NA,NA
26047,10059308,2221111,md_200kWh,4.9,_,6.833333333,_,0.194820417,0.998001276,NA,NA,NA
37418,10022206,3743421,ld_100kWh,4.9,_,5.233333333,_,0.09585625,0.669260169,NA,NA,NA
24496,10023108,1848535,ld_100kWh,4.866666667,_,6.466666667,_,0.044791416,0.998001887,NA,NA,NA
13162,10060404,226191,hd_300kWh,4.866666667,_,6.466666667,_,0.071950758,0.998004337,NA,NA,NA
