charge_event_id,SE_id,pev_id,pev_type,start_time,end_time_chg,end_time_prk,dest_type,soc_i,soc_f,ES_strategy,VS_strategy,Ext_strategy
12463,10009607,176109,hd_400kWh,0.15,_,2.116666667,_,0.098663654,0.998009025,NA,NA,NA
14421,10016504,317912,hd_300kWh,0.183333333,_,2.0,_,0.089859322,0.998004337,NA,NA,NA
29502,10025808,3690830,hd_600kWh,0.25,_,2.166666667,_,0.749391335,0.998008652,NA,NA,NA
22492,10029708,1523388,hd_600kWh,0.25,_,2.183333333,_,0.098347632,0.998008652,NA,NA,NA
21462,10014802,1420046,ld_100kWh,0.233333333,_,2.083333333,_,0.086624247,0.998001887,NA,NA,NA
21004,10063604,1371452,hd_300kWh,0.216666667,_,2.083333333,_,0.092333017,0.998004337,NA,NA,NA
20677,10022205,1344526,hd_600kWh,0.333333333,_,2.3,_,0.099239298,0.998008652,NA,NA,NA
21008,10006006,1374957,md_200kWh,0.3,_,2.25,_,0.096593333,0.998001276,NA,NA,NA
27289,10003104,2691300,md_200kWh,0.333333333,_,0.55,_,0.247560832,0.879840845,NA,NA,NA
14763,10008304,345537,ld_100kWh,0.416666667,_,2.35,_,0.096176581,0.998001887,NA,NA,NA
21909,10039005,1465507,hd_400kWh,0.433333333,_,2.35,_,0.094251346,0.998009025,NA,NA,NA
13675,10058906,263970,md_200kWh,0.366666667,_,2.233333333,_,0.176772083,0.998001276,NA,NA,NA
21935,10047206,1467572,md_200kWh,0.483333333,_,0.716666667,_,0.199329474,0.550449615,NA,NA,NA
16521,10013308,473557,ld_100kWh,0.55,_,0.85,_,0.076854368,0.580114958,NA,NA,NA
11244,10022506,86764,hd_300kWh,0.6,_,2.533333333,_,0.096546346,0.998003789,NA,NA,NA
23350,10043306,1616770,hd_400kWh,0.566666667,_,2.516666667,_,0.097649808,0.998009025,NA,NA,NA
20503,10026408,1326039,hd_400kWh,0.65,_,2.616666667,_,0.098550769,0.998009025,NA,NA,NA
30139,10026404,3887511,md_200kWh,0.65,_,0.783333333,_,0.091023334,0.545408571,NA,NA,NA
24319,10009403,1801066,md_200kWh,0.766666667,_,0.95,_,0.188560417,0.785095219,NA,NA,NA
19698,10034305,1256557,hd_300kWh,0.85,_,2.4,_,0.046808075,0.998003789,NA,NA,NA
10210,10005008,18143,md_200kWh,0.816666667,_,2.683333333,_,0.173970833,0.998001276,NA,NA,NA
17410,10001405,542522,ld_100kWh,0.783333333,_,1.3,_,0.082229292,0.92714608,NA,NA,NA
10593,10047209,39660,hd_400kWh,1.116666667,_,3.05,_,0.194594231,0.998009025,NA,NA,NA
28452,10033907,3372332,md_200kWh,1.216666667,_,1.45,_,0.2967,0.909932722,NA,NA,NA
20906,10021407,1364775,ld_100kWh,1.333333333,_,3.266666667,_,0.096639232,0.998001887,NA,NA,NA
23822,10013108,1694630,hd_400kWh,1.4,_,3.133333333,_,0.076323847,0.998009025,NA,NA,NA
24904,10032307,1936265,md_200kWh,1.516666667,_,2.933333333,_,0.072779584,0.998001276,NA,NA,NA
28233,10074904,3302455,md_200kWh,1.55,_,3.016666667,_,0.08054375,0.998001276,NA,NA,NA
11987,10053308,144635,hd_400kWh,1.55,_,3.45,_,0.091035577,0.998009025,NA,NA,NA
29337,10055702,3638993,hd_300kWh,1.866666667,_,2.183333333,_,0.022704808,0.878213402,NA,NA,NA
29529,10059308,3713369,md_200kWh,2.0,_,2.733333333,_,0.142448747,0.998001276,NA,NA,NA
15823,10055705,422714,md_200kWh,1.966666667,_,3.75,_,0.002089583,0.998001276,NA,NA,NA
38454,10049109,1141455,hd_600kWh,2.083333333,_,3.316666667,_,0.086259211,0.998008652,NA,NA,NA
38442,10070107,1165234,hd_400kWh,2.45,_,4.383333333,_,0.188567692,0.998009025,NA,NA,NA
25965,10075311,2195666,hd_400kWh,2.633333333,_,4.433333333,_,0.622150564,0.998005912,NA,NA,NA
27789,10005006,3177191,hd_400kWh,2.766666667,_,3.983333333,_,0.066422308,0.998009025,NA,NA,NA
