time_hrs,demand,fossil_fuel,nuclear,solar
0,1549.719,929.6795066,622,-1.960506642
0.08333333,1540.627,920.5875066,622,-1.960506642
0.16666667,1531.535,911.4955066,622,-1.960506642
0.25,1522.444,902.4045066,622,-1.960506642
0.33333333,1513.352,893.3125066,622,-1.960506642
0.41666667,1504.26,884.2205066,622,-1.960506642
0.5,1504.26,884.2205066,622,-1.960506642
0.58333333,1497.036,876.9965066,622,-1.960506642
0.66666667,1489.813,869.7735066,622,-1.960506642
0.75,1482.589,862.5495066,622,-1.960506642
0.83333333,1475.365,855.3255066,622,-1.960506642
0.91666667,1468.142,848.1025066,622,-1.960506642
1,1460.918,840.8785066,622,-1.960506642
1.08333333,1453.695,833.6555066,622,-1.960506642
1.16666667,1446.471,826.4315066,622,-1.960506642
1.25,1439.247,819.2075066,622,-1.960506642
1.33333333,1432.024,811.9845066,622,-1.960506642
1.41666667,1424.8,804.7605066,622,-1.960506642
1.5,1424.8,804.7605066,622,-1.960506642
1.58333333,1420.192,800.1525066,622,-1.960506642
1.66666667,1415.584,795.5445066,622,-1.960506642
1.75,1410.975,790.9355066,622,-1.960506642
1.83333333,1406.367,786.3275066,622,-1.960506642
1.91666667,1401.759,781.7195066,622,-1.960506642
2,1397.151,777.1115066,622,-1.960506642
2.08333333,1392.543,772.5035066,622,-1.960506642
2.16666667,1387.935,767.8955066,622,-1.960506642
2.25,1383.326,763.2865066,622,-1.960506642
2.33333333,1378.718,758.6785066,622,-1.960506642
2.41666667,1374.11,754.0705066,622,-1.960506642
2.5,1374.11,754.0705066,622,-1.960506642
2.58333333,1373.985,753.9455066,622,-1.960506642
2.66666667,1373.861,753.8215066,622,-1.960506642
2.75,1373.736,753.6965066,622,-1.960506642
2.83333333,1373.612,753.5725066,622,-1.960506642
2.91666667,1373.487,753.4475066,622,-1.960506642
3,1373.363,753.3235066,622,-1.960506642
3.08333333,1373.238,753.1985066,622,-1.960506642
3.16666667,1373.114,753.0745066,622,-1.960506642
3.25,1372.989,752.9495066,622,-1.960506642
3.33333333,1372.865,752.8255066,622,-1.960506642
3.41666667,1372.74,752.7005066,622,-1.960506642
3.5,1372.74,752.7005066,622,-1.960506642
3.58333333,1377.722,757.6825066,622,-1.960506642
3.66666667,1382.704,762.6645066,622,-1.960506642
3.75,1387.685,767.6455066,622,-1.960506642
3.83333333,1392.667,772.6275066,622,-1.960506642
3.91666667,1397.649,777.6095066,622,-1.960506642
4,1402.631,782.5915066,622,-1.960506642
4.08333333,1407.613,787.5735066,622,-1.960506642
4.16666667,1412.595,792.5555066,622,-1.960506642
4.25,1417.576,797.5365066,622,-1.960506642
4.33333333,1422.558,802.5185066,622,-1.960506642
4.41666667,1427.54,807.5005066,622,-1.960506642
4.5,1427.54,807.5005066,622,-1.960506642
4.58333333,1432.397,812.3575066,622,-1.960506642
4.66666667,1437.255,817.2155066,622,-1.960506642
4.75,1442.112,822.0725066,622,-1.960506642
4.83333333,1446.969,826.9295066,622,-1.960506642
4.91666667,1451.826,831.7865066,622,-1.960506642
5,1456.684,836.6445066,622,-1.960506642
5.08333333,1461.541,841.5015066,622,-1.960506642
5.16666667,1466.398,846.3585066,622,-1.960506642
5.25,1471.255,851.2155066,622,-1.960506642
5.33333333,1476.113,856.0735066,622,-1.960506642
5.41666667,1480.97,860.9305066,622,-1.960506642
5.5,1480.97,860.9305066,622,-1.960506642
5.58333333,1489.564,869.5245066,622,-1.960506642
5.66666667,1498.157,878.1175066,622,-1.960506642
5.75,1506.751,886.7115066,622,-1.960506642
5.83333333,1515.345,895.3055066,622,-1.960506642
5.91666667,1523.938,903.8985066,622,-1.960506642
6,1532.532,912.4925066,622,-1.960506642
6.08333333,1541.125,920.4976508,622,-1.372650783
6.16666667,1549.719,928.0935787,622,-0.374578731
6.25,1558.313,935.1314839,622,1.181516073
6.33333333,1566.906,941.6546546,622,3.251345414
6.41666667,1575.5,947.2337327,622,6.266267266
6.5,1575.5,943.2925445,622,10.2074555
6.58333333,1586.958,949.7566279,622,15.20137207
6.66666667,1598.416,955.029314,622,21.38668598
6.75,1609.875,958.8215202,622,29.05347981
6.83333333,1621.333,961.3009824,622,38.03201756
6.91666667,1632.791,962.0504626,622,48.7405374
7,1644.249,961.2171655,622,61.03183451
7.08333333,1655.707,958.8665786,622,74.84042141
7.16666667,1667.165,954.8162315,622,90.34876854
7.25,1678.624,948.5408749,622,108.0831251
7.33333333,1690.082,940.456987,622,127.625013
7.41666667,1701.54,930.6660742,622,148.8739258
7.5,1701.54,907.3379376,622,172.2020624
7.58333333,1714.244,895.0202947,622,197.2237053
7.66666667,1726.947,879.7353115,622,225.2116885
7.75,1739.651,866.8056251,622,250.8453749
7.83333333,1752.355,852.5776493,622,277.7773507
7.91666667,1765.058,837.8027192,622,305.2552808
8,1777.762,820.4209869,622,335.3410131
8.08333333,1790.465,803.2312147,622,365.2337853
8.16666667,1803.169,785.462176,622,395.706824
8.25,1815.873,756.7830437,622,437.0899563
8.33333333,1828.576,727.2715058,622,479.3044942
