SE_id,SE_type,lon,lat,node_id,SE_group,location_type
100006231,L2_17280,-93.1,45.2,HOME,0,H
100006638,L2_17280,-93.1,45.2,HOME,0,H
100007087,L2_17280,-93.1,45.2,HOME,0,H
100008346,L2_17280,-93.1,45.2,HOME,0,H
100009198,L2_17280,-93.1,45.2,HOME,0,H
100022084,L2_17280,-93.1,45.2,HOME,0,H
100022888,L2_17280,-93.1,45.2,HOME,0,H
100033579,L2_17280,-93.1,45.2,HOME,0,H
100034746,L2_17280,-93.1,45.2,HOME,0,H
100034755,L2_17280,-93.1,45.2,HOME,0,H
100034945,L2_17280,-93.1,45.2,HOME,0,H
100035278,L2_17280,-93.1,45.2,HOME,0,H
100036279,L2_17280,-93.1,45.2,HOME,0,H
100075507,L2_17280,-93.1,45.2,HOME,0,H
100075860,L2_17280,-93.1,45.2,HOME,0,H
100076502,L2_17280,-93.1,45.2,HOME,0,H
100076670,L2_17280,-93.1,45.2,HOME,0,H
100077233,L2_17280,-93.1,45.2,HOME,0,H
100078051,L2_17280,-93.1,45.2,HOME,0,H
100078284,L2_17280,-93.1,45.2,HOME,0,H
100080539,L2_17280,-93.1,45.2,HOME,0,H
100083402,L2_17280,-93.1,45.2,HOME,0,H
100085057,L2_17280,-93.1,45.2,HOME,0,H
100087386,L2_17280,-93.1,45.2,HOME,0,H
100136789,L2_17280,-93.1,45.2,HOME,0,H
100136856,L2_17280,-93.1,45.2,HOME,0,H
100139966,L2_17280,-93.1,45.2,HOME,0,H
100140383,L2_17280,-93.1,45.2,HOME,0,H
100140539,L2_17280,-93.1,45.2,HOME,0,H
100165306,L2_17280,-93.1,45.2,HOME,0,H
100165846,L2_17280,-93.1,45.2,HOME,0,H
100167177,L2_17280,-93.1,45.2,HOME,0,H
100234664,L2_17280,-93.1,45.2,HOME,0,H
100235067,L2_17280,-93.1,45.2,HOME,0,H
100236095,L2_17280,-93.1,45.2,HOME,0,H
100236971,L2_17280,-93.1,45.2,HOME,0,H
100238136,L2_17280,-93.1,45.2,HOME,0,H
100241440,L2_17280,-93.1,45.2,HOME,0,H
100241567,L2_17280,-93.1,45.2,HOME,0,H
100242798,L2_17280,-93.1,45.2,HOME,0,H
100243187,L2_17280,-93.1,45.2,HOME,0,H
